Business Name,Address,Phone,Website,Category,Rating,Review Count,Price Level,Hours,Description,Latitude,Longitude,Neighborhood,Local Competition
Corner Restaurant,"110 E 2nd St, Austin, TX 78701, USA",(512) 608-4488,https://www.cornerrestaurantaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,Restaurants,4.9,16532,$$,Monday: 6:30 AM – 12:00 AM; Tuesday: 6:30 AM – 12:00 AM; Wednesday: 6:30 AM – 12:00 AM,Restaurants business in Austin,30.2645703,-97.7438317,Austin,Competing restaurants businesses in Austin
Casino El Camino,"517 E 6th St, Austin, TX 78701, USA",(512) 469-9330,http://www.casinoelcamino.net/,Restaurants,4.5,4152,$,Monday: 11:30 AM – 2:00 AM; Tuesday: 11:30 AM – 2:00 AM; Wednesday: 11:30 AM – 2:00 AM,Restaurants business in Austin,30.266417,-97.7376784,Austin,Competing restaurants businesses in Austin
Las Cazuelas Méxican Restaurant Atx,"1701 E Cesar Chavez St Suite A, Austin, TX 78702, USA",(512) 479-7911,https://www.lascazuelasaustin.com/%20(https://www.lascazuelasaustin.com/),Restaurants,3.8,1371,$,Monday: 6:00 AM – 2:00 AM; Tuesday: 6:00 AM – 2:00 AM; Wednesday: 6:00 AM – 2:00 AM,Restaurants business in Austin,30.2576057,-97.72654270000001,Austin,Competing restaurants businesses in Austin
Yard House,"11800 Domain Blvd Suite 700, Austin, TX 78758, USA",(512) 836-0174,https://www.yardhouse.com/locations/tx/austin/austin-domain-northside/8366?cmpid=br:yh_ag:ie_ch:loc_ca:YHGMB_sn:gmb_gt:austin-tx-8366_pl:locurl_rd:1062,Restaurants,4.4,5571,$$,Monday: 11:00 AM – 12:00 AM; Tuesday: 11:00 AM – 12:00 AM; Wednesday: 11:00 AM – 12:00 AM,Restaurants business in Austin,30.4043517,-97.7214832,Austin,Competing restaurants businesses in Austin
PD Thai Restaurant,"3208 Guadalupe St #2329, Austin, TX 78705, USA",(512) 371-8777,https://pdthairestaurant.com/?utm_source=google,Restaurants,4.3,497,$,Monday: 10:00 AM – 3:00 AM; Tuesday: 10:00 AM – 3:00 AM; Wednesday: 10:00 AM – 3:00 AM,Restaurants business in Austin,30.299852,-97.740363,Austin,Competing restaurants businesses in Austin
Applebee's Grill + Bar,"6315 S I-35 Frontage Rd, Austin, TX 78744, USA",(512) 912-0202,https://restaurants.applebees.com/en-us/tx/austin/6315-s-interstate-highway-35-80001?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=80001&utm_content=website,Restaurants,3.8,2254,$$,Monday: 11:00 AM – 2:00 AM; Tuesday: 11:00 AM – 2:00 AM; Wednesday: 11:00 AM – 2:00 AM,Restaurants business in Austin,30.1928484,-97.7674516,Austin,Competing restaurants businesses in Austin
Ember Kitchen,"800 W Cesar Chavez St Ste PP110, Austin, TX 78701, USA",(512) 291-6846,https://www.emberatx.com/,Restaurants,4.8,1965,N/A,Monday: 5:00 – 10:00 PM; Tuesday: 5:00 – 10:00 PM; Wednesday: 5:00 – 10:00 PM,Restaurants business in Austin,30.266876,-97.7528456,Austin,Competing restaurants businesses in Austin
Sour Duck Market,"1814 E Martin Luther King Jr Blvd, Austin, TX 78702, USA",(512) 394-5776,http://sourduckmarket.com/,Restaurants,4.5,2107,$$,Monday: 9:00 AM – 9:00 PM; Tuesday: 9:00 AM – 9:00 PM; Wednesday: 9:00 AM – 9:00 PM,Restaurants business in Austin,30.2798806,-97.7215815,Austin,Competing restaurants businesses in Austin
Juniper,"2400 E Cesar Chavez St UNIT 304, Austin, TX 78702, USA",(512) 220-9421,https://www.juniperaustin.com/,Restaurants,4.4,1100,$$$,Monday: 5:00 – 10:00 PM; Tuesday: 5:00 – 10:00 PM; Wednesday: 5:00 – 10:00 PM,Restaurants business in Austin,30.2547104,-97.7172759,Austin,Competing restaurants businesses in Austin
Applebee's Grill + Bar,"2700 Parker Dr STE A, Round Rock, TX 78681, USA",(512) 388-7353,https://restaurants.applebees.com/en-us/tx/round-rock/2700-parker-rd-ste-a-80008?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=80008&utm_content=website,Restaurants,3.7,2672,$$,Monday: 11:00 AM – 1:00 AM; Tuesday: 11:00 AM – 1:00 AM; Wednesday: 11:00 AM – 1:00 AM,Restaurants business in Austin,30.4825371,-97.6815704,Round Rock,Competing restaurants businesses in Austin
