Property_ID,Address,Neighborhood,Property_Type,Bedrooms,Bathrooms,Square_Feet,Monthly_Rent,Price_Per_SqFt,Estimated_Purchase_Price,Monthly_Expenses,Monthly_Cash_Flow,Annual_NOI,Cap_Rate,Market_Score,Market_Segment,Growth_Potential,Listing_Status,Days_on_Market,Year_Built,Parking_Spaces,Pet_Friendly,Amenities,Tenant_Type,Lease_Length,Utilities_Included,Distance_to_Downtown,School_Rating,Crime_Index,Walk_Score,Transit_Score
ATX-001,"4112 Pine Dr, Austin, TX 74444",West Austin,Loft,3,3.0,2392,4997,2.09,846785,1587,3409,40915,4.83,88,Premium,Low,Available,6,2017,1,Yes,"Pool, Gym, Parking",Professional,6 months,Water/Sewer,7.4,10,2.2,52,65
ATX-002,"9754 Elm Way, Austin, TX 73354",West Austin,Modern Apartment,3,2.0,1929,5015,2.6,854316,1333,3681,44174,5.17,84,Premium,Low,Available,22,2007,1,No,"Hardwood Floors, Updated Kitchen",Family,18 months,None,4.1,6,4.2,62,58
ATX-003,"8885 Oak Ave, Austin, TX 76401",South Austin,Modern Apartment,1,1.0,1135,3393,2.99,485714,947,2445,29343,6.04,97,Premium,Medium,Available,40,2013,3,No,"Pool, Gym, Parking",Professional,12 months,None,17.2,8,7.9,94,34
ATX-004,"7528 Park Blvd, Austin, TX 74633",South Austin,Modern Apartment,5,5.5,2642,3443,1.3,533001,932,2510,30121,5.65,85,Premium,Medium,Available,45,1994,3,No,"Garage, Garden, Modern Appliances",Professional,12 months,Water/Sewer,5.8,9,3.6,80,64
ATX-005,"3852 Main St, Austin, TX 75885",West Austin,Luxury Condo,3,3.5,2073,6245,3.01,974510,1602,4642,55708,5.72,89,Premium,Low,Available,57,2010,1,Dogs Only,"In-unit Laundry, Pool, Gym",Professional,18 months,All,5.3,7,3.5,75,54
ATX-006,"6643 Park Blvd, Austin, TX 75097",West Austin,Townhouse,2,1.5,2397,4730,1.97,850894,1247,3482,41784,4.91,86,Premium,Low,Available,6,1993,1,No,"Balcony, AC, Dishwasher",Professional,12 months,All,15.7,9,4.3,69,53
ATX-007,"8897 Elm Way, Austin, TX 78551",West Austin,Modern Apartment,2,1.0,1358,5072,3.73,779094,1416,3655,43861,5.63,76,Premium,Low,Available,30,1990,3,Cats Only,"Garage, Garden, Modern Appliances",Student,12 months,Water/Sewer,13.7,6,7.2,59,73
ATX-008,"2746 Main St, Austin, TX 78207",Cedar Park,Modern Apartment,4,4.0,2291,2964,1.29,453391,746,2217,26606,5.87,91,Mid-Market,High,Available,57,2009,1,Yes,"Balcony, AC, Dishwasher",Professional,18 months,None,4.0,9,6.9,88,54
ATX-009,"9107 Cedar Ln, Austin, TX 75472",Cedar Park,Modern Apartment,1,1.0,1143,2362,2.07,380534,733,1628,19538,5.13,86,Mid-Market,High,Available,60,2002,3,Cats Only,"In-unit Laundry, Pool, Gym",Family,12 months,Electric,12.1,10,4.7,55,34
ATX-010,"9738 Pine Dr, Austin, TX 78121",West Austin,Townhouse,2,2.5,1965,4090,2.08,608627,1051,3038,36461,5.99,91,Premium,Low,Available,4,2004,1,Yes,"Hardwood Floors, Updated Kitchen",Professional,12 months,None,13.8,8,6.0,53,54
