Address,Price,Bedrooms,Bathrooms,Square Feet,Property Type,Neighborhood,Amenities,Contact,Listing URL,Days on Market,Listing Date,Latitude,Longitude,Description
"6996 Lake Ave, Austin, TX 16560",4214,4,2.5,1474,Single Family,Highland Park,"Balcony, In-unit Laundry, AC",(850) 846-3099,https://example-rentals.com/listing-686559,30,2025-08-08,30.3326917,-97.76602620000001,"Beautiful 4 bedroom townhouse in Austin | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.6/5. Top nearby: Red Dragon Bao, Fae's Florals, Bloom and Leaf Events"
"5049 Valley Rd, Austin, TX 49357",3135,2,2,952,Apartment,West Austin Ng,"Dishwasher, Microwave, Parking",(980) 483-6033,https://example-rentals.com/listing-236369,42,2025-08-03,30.3075083,-97.759465,"Beautiful 2 bedroom duplex in Austin | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Taqueria La Chiapaneca, Tacos Garcilita, La Banderita Boricua -787"
"9842 Elm St, Austin, TX 62201",2182,1,2.5,658,Condo,Old West Austin,"Balcony, Storage, AC",(978) 893-6155,https://example-rentals.com/listing-899796,28,2025-08-07,30.2793472,-97.7579089,"Beautiful 1 bedroom condo in Austin | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Taqueria La Chiapaneca, Tacos Garcilita, La Banderita Boricua -787"
"5791 Center Blvd, Austin, TX 14973",2120,1,1,848,Townhouse,West Austin,"In-unit Laundry, AC, Parking",(208) 404-9288,https://example-rentals.com/listing-653480,12,2025-08-06,30.267153,-97.7430608,"Beautiful 1 bedroom condo in Austin | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Taqueria La Chiapaneca, Tacos Garcilita, La Banderita Boricua -787"
"7987 Lake Ave, Austin, TX 12699",2480,3,3,1284,Townhouse,Highland Park,"In-unit Laundry, AC, Parking",(453) 628-1113,https://example-rentals.com/listing-637035,35,2025-08-01,30.332208,-97.7660405,"Beautiful 3 bedroom townhouse in Austin | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.6/5. Top nearby: Red Dragon Bao, Fae's Florals, Bloom and Leaf Events"
"5251 Center Blvd, Austin, TX 60303",3646,3,1,1466,Single Family,Central Austin,"Pool, Gym, Parking",(440) 668-7937,https://example-rentals.com/listing-308280,13,2025-08-01,30.267153,-97.7430608,"Beautiful 3 bedroom townhouse in Austin | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: The Big Taquito, Arbor Food Park, Thai Q"
"3094 Second Ave, Austin, TX 31614",2418,1,1.5,734,Apartment,Downtown Austin,"Pool, Pet Friendly, Gym",(499) 326-6422,https://example-rentals.com/listing-727599,39,2025-08-08,30.2626288,-97.7380957,"Beautiful 1 bedroom studio in Austin | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Taqueria La Chiapaneca, Tacos Garcilita, The Big Taquito"
"1480 Valley Rd, Austin, TX 99034",2842,3,1,1436,Studio,West Austin Ng,"Pool, Pet Friendly, Gym",(499) 720-2266,https://example-rentals.com/listing-767378,4,2025-08-02,30.3075083,-97.759465,"Beautiful 3 bedroom condo in Austin | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Taqueria La Chiapaneca, Tacos Garcilita, La Banderita Boricua -787"
"4560 Maple Ave, Austin, TX 85397",3967,3,1,1327,Single Family,East Austin,"Balcony, Parking, Storage",(813) 590-1555,https://example-rentals.com/listing-980132,43,2025-08-06,30.2846169,-97.7171529,"Beautiful 3 bedroom studio in Austin | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Woodneck Kitchen, Gelu Italian Ice - Austin, Vamos Coffee"
"3213 Pine Ln, Austin, TX 45625",1226,Studio,2.5,548,Condo,Allandale,"Dishwasher, Microwave, Parking",(370) 557-1126,https://example-rentals.com/listing-306282,2,2025-08-09,30.3514454,-97.74040819999999,"Beautiful Studio bedroom single family in Austin | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Mom & Pop's All-Natural Frozen Pops, Saltery ATX, My Sweetish Friend"
