Address,Price,Bedrooms,Bathrooms,Square Feet,Property Type,Neighborhood,Amenities,Contact,Listing URL,Days on Market,Listing Date,Latitude,Longitude,Description,Source,Collected At
"1911 Ohlen Rd, Austin, TX 78757",949990,3,3,1632,N/A,Wooten,,N/A,/homedetails/1911-Ohlen-Rd-Austin-TX-78757/29426419_zpid/,12,,30.3611367,-97.72534979999999," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Five O Four, Chef Choo, ABW CAN-tina",Zillow (RapidAPI),2025-08-20 00:30:46
"102 W Fawnridge Dr, Austin, TX 78753",560000,3,3,1752,N/A,Georgian Acres,,N/A,/homedetails/102-W-Fawnridge-Dr-Austin-TX-78753/29425362_zpid/,4,,30.3587866,-97.6952594," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Five O Four, Chef Choo, Selam Internation Mart & Cafe",Zillow (RapidAPI),2025-08-20 00:30:46
"710 Colorado St APT 7J, Austin, TX 78701",650000,2,2,1287,N/A,Downtown Austin,,N/A,/homedetails/710-Colorado-St-APT-7J-Austin-TX-78701/455831487_zpid/,5,,30.27009,-97.7437963," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Taqueria La Chiapaneca, Tacos Garcilita, The Big Taquito",Zillow (RapidAPI),2025-08-20 00:30:46
"12725 Bloomington Dr #129, Austin, TX 78748",268000,3,2,1350,N/A,,,N/A,/homedetails/12725-Bloomington-Dr-129-Austin-TX-78748/339448920_zpid/,94,,30.1181876,-97.8091883," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Chimichurri Atx, The Big Taquito, Chimichurri Atx",Zillow (RapidAPI),2025-08-20 00:30:46
"6220 Andes Peak Trl, Austin, TX 78747",445000,4,3,2311,N/A,,,N/A,/homedetails/6220-Andes-Peak-Trl-Austin-TX-78747/305434505_zpid/,17,,30.1360599,-97.7628938," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Chimichurri Atx, The Big Taquito, Chimichurri Atx",Zillow (RapidAPI),2025-08-20 00:30:46
"12821 Park Dr, Austin, TX 78732",13900000,6,13,15394,N/A,Steiner Ranch Neighborhood Association,,N/A,/homedetails/12821-Park-Dr-Austin-TX-78732/2074946068_zpid/,71,,30.3936412,-97.87872829999999," | Neighborhood highlights: 7 restaurants, 5 entertainment venues, avg rating 4.5/5. Top nearby: Cake d'Arte, Patisserie Magalie, Austin Print Co",Zillow (RapidAPI),2025-08-20 00:30:46
"3709 Windsor Rd, Austin, TX 78703",2900000,5,5,3555,N/A,West Austin Ng,,N/A,/homedetails/3709-Windsor-Rd-Austin-TX-78703/29336086_zpid/,12,,30.301914,-97.77886869999999," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Taqueria La Chiapaneca, Tacos Garcilita, La Banderita Boricua -787",Zillow (RapidAPI),2025-08-20 00:30:46
"3411 Cactus Wren Way, Austin, TX 78746",1550000,4,3,2352,N/A,Woodhaven,,N/A,/homedetails/3411-Cactus-Wren-Way-Austin-TX-78746/29326871_zpid/,4,,30.2709957,-97.8071822," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Taqueria La Chiapaneca, Chimichurri Atx, Tacos Garcilita",Zillow (RapidAPI),2025-08-20 00:30:46
"10101 Dobbin Dr, Austin, TX 78748",699000,5,3,2003,N/A,Palamino Park,,N/A,/homedetails/10101-Dobbin-Dr-Austin-TX-78748/29507463_zpid/,37,,30.1811266,-97.8508839," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.8/5. Top nearby: Sierra Sur, Sierra Sur, Tanglewood Nutrition Spot",Zillow (RapidAPI),2025-08-20 00:30:46
"4435 Stony Meadow Ln, Austin, TX 78731",879900,4,3,2233,N/A,Bull Creek,,N/A,/homedetails/4435-Stony-Meadow-Ln-Austin-TX-78731/29353179_zpid/,6,,30.36071799999999,-97.77611929999999," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.7/5. Top nearby: The Marvelous Vintage Tea Party Co., Danny's Ice Cream Truck, Bleu Nail Cafe",Zillow (RapidAPI),2025-08-20 00:30:46
"6607 W Courtyard Dr, Austin, TX 78730",9998000,5,6,5780,N/A,Mansfield-River Place,,N/A,/homedetails/6607-W-Courtyard-Dr-Austin-TX-78730/29351871_zpid/,20,,30.3583519,-97.8028645," | Neighborhood highlights: 4 restaurants, 5 entertainment venues, avg rating 4.2/5. Top nearby: Woodlands Park, Kizzi Dancewear, River Place Nature Trail",Zillow (RapidAPI),2025-08-20 00:30:46
"6123 Blue Stem Trl, Austin, TX 78735",75900,3,2,1216,N/A,West Oak Hill,,N/A,/homedetails/6123-Blue-Stem-Trl-Austin-TX-78735/83825061_zpid/,139,,30.24848649999999,-97.8833533," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.0/5. Top nearby: Liz's Little Kitchen, Salt + Stone, Robin Bond Interiors",Zillow (RapidAPI),2025-08-20 00:30:46
"2106 Morley Dr #141, Austin, TX 78752",209900,3,3,1484,N/A,Coronado Hills,,N/A,/homedetails/2106-Morley-Dr-141-Austin-TX-78752/456090763_zpid/,0,,30.3264518,-97.6805827," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Five O Four, Tamales y Antojitos Veracruz, Mom & Pop's All-Natural Frozen Pops",Zillow (RapidAPI),2025-08-20 00:30:46
"12004 Verchota Dr, Austin, TX 78748",395000,3,2,1753,N/A,Rancho Alto,,N/A,/homedetails/12004-Verchota-Dr-Austin-TX-78748/80091285_zpid/,0,,30.1463443,-97.84052709999999," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.8/5. Top nearby: Sierra Sur, Sierra Sur, Tanglewood Nutrition Spot",Zillow (RapidAPI),2025-08-20 00:30:46
"16437 Along Creek Cv, Austin, TX 78717",975000,6,4,3765,N/A,Avery Ranch Parkside,,N/A,/homedetails/16437-Along-Creek-Cv-Austin-TX-78717/88022623_zpid/,4,,30.5120693,-97.7550646," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.6/5. Top nearby: Buenos Sabores2, Instill Coffee, Clean Slate Home Staging",Zillow (RapidAPI),2025-08-20 00:30:46
"712 Graham Pl APT 302, Austin, TX 78705",299900,2,2,751,N/A,Central Austin,,N/A,/homedetails/712-Graham-Pl-APT-302-Austin-TX-78705/29393861_zpid/,0,,30.2901105,-97.7473308," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: The Big Taquito, Taqueria El Picante, Arbor Food Park",Zillow (RapidAPI),2025-08-20 00:30:46
"9005 Quail Creek Dr, Austin, TX 78758",549900,3,2,1908,N/A,North Austin Civic Association,,N/A,/homedetails/9005-Quail-Creek-Dr-Austin-TX-78758/29426784_zpid/,131,,30.3613863,-97.7031683," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Chef Choo, Delicious Food & Sweet, Arturo’s Tacos",Zillow (RapidAPI),2025-08-20 00:30:46
"6908 Thistle Hill Way, Austin, TX 78754",339900,4,3,2490,N/A,Harris Branch,,N/A,/homedetails/6908-Thistle-Hill-Way-Austin-TX-78754/29421836_zpid/,17,,30.3485892,-97.6135517," | Neighborhood highlights: 4 restaurants, 5 entertainment venues, avg rating 4.4/5. Top nearby: El Mana Authentic Mexican, QuikTrip, El Mana Authentic Mexican",Zillow (RapidAPI),2025-08-20 00:30:46
"301 West Ave #2105, Austin, TX 78701",938000,2,1,1001,N/A,Downtown Austin,,N/A,/homedetails/301-West-Ave-2105-Austin-TX-78701/306644888_zpid/,0,,30.2677646,-97.75090709999999," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Taqueria La Chiapaneca, Tacos Garcilita, The Big Taquito",Zillow (RapidAPI),2025-08-20 00:30:46
"605 Silver Wing Dr, Austin, TX 78725",339000,4,3,2570,N/A,,,N/A,/homedetails/605-Silver-Wing-Dr-Austin-TX-78725/241937807_zpid/,82,,30.2381691,-97.5808663," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Chimichurri Atx, The Big Taquito, Chimichurri Atx",Zillow (RapidAPI),2025-08-20 00:30:46
"710 Colorado St APT 2A, Austin, TX 78701",344888,1,1,849,N/A,Downtown Austin,,N/A,/homedetails/710-Colorado-St-APT-2A-Austin-TX-78701/2057608348_zpid/,417,,30.27009,-97.7437963," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Taqueria La Chiapaneca, Tacos Garcilita, The Big Taquito",Zillow (RapidAPI),2025-08-20 00:30:46
"2201 Garden St, Austin, TX 78702",1850000,4,4,2014,N/A,Holly,,N/A,/homedetails/2201-Garden-St-Austin-TX-78702/144229866_zpid/,13,,30.2527927,-97.7218838," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Taqueria La Chiapaneca, Tacos Garcilita, Gelu Italian Ice - Austin",Zillow (RapidAPI),2025-08-20 00:30:46
"2503 Lakehurst Dr, Austin, TX 78744",280000,3,2,1200,N/A,Bluff Springs,,N/A,/homedetails/2503-Lakehurst-Dr-Austin-TX-78744/29503191_zpid/,8,,30.1834205,-97.755415," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.5/5. Top nearby: Sems Turkish Cafe, La Tortuga Veloz, Sems Turkish Cafe",Zillow (RapidAPI),2025-08-20 00:30:46
"200 Congress Ave UNIT 13A, Austin, TX 78701",1095000,1,2,1225,N/A,Downtown Austin,,N/A,/homedetails/200-Congress-Ave-UNIT-13A-Austin-TX-78701/119627496_zpid/,0,,30.2647991,-97.7444829," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Taqueria La Chiapaneca, Tacos Garcilita, The Big Taquito",Zillow (RapidAPI),2025-08-20 00:30:46
"7414 Dallas Dr, Austin, TX 78729",425000,3,2,1497,N/A,Rattan Creek,,N/A,/homedetails/7414-Dallas-Dr-Austin-TX-78729/29575259_zpid/,1,,30.44535369999999,-97.75797519999999," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Cachi Factory, Beyond Golf Performance, Pamcakes Bakery",Zillow (RapidAPI),2025-08-20 00:30:46
"2601 Clear Cv, Austin, TX 78704",1100000,3,2,1862,N/A,Barton Hills,,N/A,/homedetails/2601-Clear-Cv-Austin-TX-78704/29323027_zpid/,0,,30.2507805,-97.7944442," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Born to Cookie, Songs Under The Stars, Every Brilliant Thing",Zillow (RapidAPI),2025-08-20 00:30:46
"1420 Yorkshire Dr, Austin, TX 78723",524000,3,2,1384,N/A,Windsor Park,,N/A,/homedetails/1420-Yorkshire-Dr-Austin-TX-78723/29407038_zpid/,3,,30.3151478,-97.6962219," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: The Southern Soul Bowl, Ladybird's Austin Kitchen, Tamales y Antojitos Veracruz",Zillow (RapidAPI),2025-08-20 00:30:46
"15212 Shell Bark Cv, Austin, TX 78724",315000,4,2,2047,N/A,,,N/A,/homedetails/15212-Shell-Bark-Cv-Austin-TX-78724/251030010_zpid/,41,,30.260527,-97.5742224," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Chimichurri Atx, The Big Taquito, Chimichurri Atx",Zillow (RapidAPI),2025-08-20 00:30:46
"12318 Danny Dr, Austin, TX 78759",450000,3,2,1503,N/A,McNeil,,N/A,/homedetails/12318-Danny-Dr-Austin-TX-78759/58306509_zpid/,2,,30.4180267,-97.7114142," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.7/5. Top nearby: Ann Wolfe The Creole Bowl, Austin Kind Cakes, Clover Coffee",Zillow (RapidAPI),2025-08-20 00:30:46
"4605 Glissman Rd, Austin, TX 78702",590000,3,1,1370,N/A,Govalle,,N/A,/homedetails/4605-Glissman-Rd-Austin-TX-78702/29383548_zpid/,0,,30.2580883,-97.6996334," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Gelu Italian Ice - Austin, Woodneck Kitchen, Vamos Coffee",Zillow (RapidAPI),2025-08-20 00:30:46
"3823 Threadgill St, Austin, TX 78723",330364,2,2,1124,N/A,Mueller Tower District,,N/A,/homedetails/3823-Threadgill-St-Austin-TX-78723/337143678_zpid/,29,,30.2908988,-97.6999938," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: The Southern Soul Bowl, Ladybird's Austin Kitchen, Thai Q",Zillow (RapidAPI),2025-08-20 00:30:46
"1017 Cripple Creek Dr, Austin, TX 78758",324500,4,3,2090,N/A,North Austin Civic Association,,N/A,/homedetails/1017-Cripple-Creek-Dr-Austin-TX-78758/29431500_zpid/,0,,30.3736149,-97.6984782," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Chef Choo, Delicious Food & Sweet, Arturo’s Tacos",Zillow (RapidAPI),2025-08-20 00:30:46
"4705 & 4709 Island Cv, Austin, TX 78731",19000000,5,6,10227,N/A,Highland Park,,N/A,/homedetails/4705-4709-Island-Cv-Austin-TX-78731/448383311_zpid/,158,,30.3315462,-97.7776671," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.6/5. Top nearby: Red Dragon Bao, Fae's Florals, Bloom and Leaf Events",Zillow (RapidAPI),2025-08-20 00:30:46
"11509 Murcia Dr, Austin, TX 78759",485000,3,2,1615,N/A,McNeil,,N/A,/homedetails/11509-Murcia-Dr-Austin-TX-78759/29438298_zpid/,36,,30.4101685,-97.7383856," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.7/5. Top nearby: Ann Wolfe The Creole Bowl, Austin Kind Cakes, Clover Coffee",Zillow (RapidAPI),2025-08-20 00:30:46
"13451 Bullick Hollow Rd, Austin, TX 78726",948000,4,6,5473,N/A,Four Points,,N/A,/homedetails/13451-Bullick-Hollow-Rd-Austin-TX-78726/305430346_zpid/,96,,30.4294832,-97.8739501," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.7/5. Top nearby: Far East Far West, Far East Far West, BCS Moving",Zillow (RapidAPI),2025-08-20 00:30:46
"12861 Hughes Park Rd, Austin, TX 78732",6500000,6,7,13127,N/A,Steiner Ranch Neighborhood Association,,N/A,/homedetails/12861-Hughes-Park-Rd-Austin-TX-78732/29363494_zpid/,95,,30.3935756,-97.8816418," | Neighborhood highlights: 7 restaurants, 5 entertainment venues, avg rating 4.5/5. Top nearby: Cake d'Arte, Patisserie Magalie, Austin Print Co",Zillow (RapidAPI),2025-08-20 00:30:46
"2612 W 12th St UNIT 1, Austin, TX 78703",998000,3,2,1468,N/A,West Austin Ng,,N/A,/homedetails/2612-W-12th-St-UNIT-1-Austin-TX-78703/121655825_zpid/,0,,30.2878661,-97.7733226," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 5.0/5. Top nearby: Taqueria La Chiapaneca, Tacos Garcilita, La Banderita Boricua -787",Zillow (RapidAPI),2025-08-20 00:30:46
"5604 Hudson Bend Rd, Austin, TX 78734",525000,4,3,2048,N/A,,,N/A,/homedetails/5604-Hudson-Bend-Rd-Austin-TX-78734/29368783_zpid/,39,,30.4221682,-97.9319842," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Chimichurri Atx, The Big Taquito, Chimichurri Atx",Zillow (RapidAPI),2025-08-20 00:30:46
"6901 Davenport Divide Rd, Austin, TX 78738",1699000,5,6,5444,N/A,,,N/A,/homedetails/6901-Davenport-Divide-Rd-Austin-TX-78738/249890826_zpid/,4,,30.3215145,-98.02747," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Chimichurri Atx, The Big Taquito, Chimichurri Atx",Zillow (RapidAPI),2025-08-20 00:30:46
"4402 Authentic Dr #69, Austin, TX 78731",949500,4,4,2178,N/A,Rosedale,,N/A,/homedetails/4402-Authentic-Dr-69-Austin-TX-78731/331622746_zpid/,0,,30.3155937,-97.7520973," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Chimichurri Atx, Taqueria El Picante, Mom & Pop's All-Natural Frozen Pops",Zillow (RapidAPI),2025-08-20 00:30:46
"4503 Highland Ter, Austin, TX 78731",1450000,4,5,2580,N/A,Rosedale,,N/A,/homedetails/4503-Highland-Ter-Austin-TX-78731/29341741_zpid/,6,,30.3216105,-97.7547587," | Neighborhood highlights: 10 restaurants, 5 entertainment venues, avg rating 4.9/5. Top nearby: Chimichurri Atx, Taqueria El Picante, Mom & Pop's All-Natural Frozen Pops",Zillow (RapidAPI),2025-08-20 00:30:46
